#Joyce_age   Bensby_age 
9.31            6.4
7.76            1.5
15.4            12.9
7.66            3.6
4.92            3.1
7.54            3.3
3.34            2.4
13.43            11.6
14.64            12.4
13.79            10.1
8.19            4.8
17.44            14.3
13.32            11.6
9.9            4.9
5.03            3.5
8.13            3.8
8.31            6.4
12.66            10.2
10.75            6.5
11.13            8.2
5.02            3.4
11.09            6.5
15.46            11.6
14.62            14.7
12.86            7.8
13.51            11.6
15.24            14.7
12.71            6.7
12.07            6.1
10.68            5.6
12.4            11.6
12.88            8.7
12.65            12.6
6.28            1.6
13.45            13.1
13.13            10.2
9.37            8.2
14.15            11.6
12.67            9.5
8.35            6.3
3.62            2.6
8.12            3.8
14.0            13.1
10.62            5.3
6.98            5.5
12.84            10.2
12.18            10.2
11.35            8.3
9.16            4.1
10.33            5.8
5.1            4.0
7.97            6.4
3.45            1.6
10.92            10.3
5.43            4.1
12.84            9.5
11.16            11.0
7.39            5.4
6.05            5.3
12.89            14.6
13.17            13.1
13.7            14.0
9.73            1.2
13.43            6.2
13.38            10.1
16.88            14.6
14.08            11.6
10.1            8.3
12.72            7.9
8.9            6.4
10.25            4.3
12.15            6.6
7.13            3.7
5.88            4.2
15.9            12.3
14.4            11.6
11.95            14.6
6.69            3.5
15.13            14.6
11.72            7.2
10.97            8.7
15.05            11.6
6.97            4.9
2.65            0.9
14.04            13.1
10.39            8.7
11.41            8.7
15.77            13.6
13.41            13.1
9.77            6.4
14.54            13.1
